<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;D;20201122;000000;76.1710000
USDRUB;D;20201123;000000;76.0205000
USDRUB;D;20201124;000000;75.4069000
USDRUB;D;20201125;000000;75.6236000
USDRUB;D;20201126;000000;75.5870000
USDRUB;D;20201127;000000;75.9925000
USDRUB;D;20201129;000000;75.9891000
USDRUB;D;20201130;000000;76.4053000
USDRUB;D;20201201;000000;75.9095000
USDRUB;D;20201202;000000;74.9660000
USDRUB;D;20201203;000000;74.5288000
USDRUB;D;20201204;000000;74.1181000
USDRUB;D;20201206;000000;73.9680000
USDRUB;D;20201207;000000;73.8202000
USDRUB;D;20201208;000000;73.3716000
USDRUB;D;20201209;000000;73.6380000
USDRUB;D;20201210;000000;73.0110000
USDRUB;D;20201211;000000;72.8860000
USDRUB;D;20201213;000000;72.9340000
USDRUB;D;20201214;000000;73.5710000
USDRUB;D;20201215;000000;73.2892000
USDRUB;D;20201216;000000;73.3539000
USDRUB;D;20201217;000000;73.0912000
USDRUB;D;20201218;000000;73.1600000
USDRUB;D;20201220;000000;73.8907000
USDRUB;D;20201221;000000;74.8222000
USDRUB;D;20201222;000000;75.7930000
USDRUB;D;20201223;000000;74.9630000
USDRUB;D;20201224;000000;73.8900000
USDRUB;D;20201225;000000;74.3244000
USDRUB;D;20201227;000000;73.9076000
USDRUB;D;20201228;000000;73.8961000
USDRUB;D;20201229;000000;73.9090000
USDRUB;D;20201230;000000;74.3469000
USDRUB;D;20201231;000000;73.7880000
USDRUB;D;20210101;000000;73.8090000
USDRUB;D;20210103;000000;74.4807000
USDRUB;D;20210104;000000;74.5035000
USDRUB;D;20210105;000000;74.2509000
USDRUB;D;20210106;000000;74.1278000
USDRUB;D;20210107;000000;74.5962000
USDRUB;D;20210108;000000;74.0795000
USDRUB;D;20210110;000000;73.9300000
USDRUB;D;20210111;000000;74.4270000
USDRUB;D;20210112;000000;73.4610000
USDRUB;D;20210113;000000;73.8795000
USDRUB;D;20210114;000000;73.3033000
USDRUB;D;20210115;000000;73.3100000
USDRUB;D;20210117;000000;73.6951000
USDRUB;D;20210118;000000;73.8800000
USDRUB;D;20210119;000000;73.7272000
USDRUB;D;20210120;000000;73.4866000
USDRUB;D;20210121;000000;73.8993000
USDRUB;D;20210122;000000;75.1411000
USDRUB;D;20210124;000000;75.4064000
USDRUB;D;20210125;000000;75.2130000
USDRUB;D;20210126;000000;74.9150000
USDRUB;D;20210127;000000;75.7780000
USDRUB;D;20210128;000000;76.0390000
USDRUB;D;20210129;000000;75.8064000
USDRUB;D;20210131;000000;75.7150000
USDRUB;D;20210201;000000;76.0720000
USDRUB;D;20210202;000000;76.2349000
USDRUB;D;20210203;000000;75.9224000
USDRUB;D;20210204;000000;75.5429000
USDRUB;D;20210205;000000;74.5982000
USDRUB;D;20210207;000000;74.5800000
USDRUB;D;20210208;000000;74.3142000
USDRUB;D;20210209;000000;73.9079000
USDRUB;D;20210210;000000;73.7870000
USDRUB;D;20210211;000000;73.6586000
USDRUB;D;20210212;000000;73.6361000
USDRUB;D;20210214;000000;73.6047000
USDRUB;D;20210215;000000;73.2600000
USDRUB;D;20210216;000000;73.4490000
