<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GC;D;20210415;000000;1763.9000000
GC;D;20210416;000000;1777.3000000
GC;D;20210418;000000;1777.9000000
GC;D;20210419;000000;1773.4000000
GC;D;20210420;000000;1782.6000000
GC;D;20210421;000000;1793.5000000
GC;D;20210422;000000;1786.2000000
GC;D;20210423;000000;1776.7000000
GC;D;20210425;000000;1780.9000000
GC;D;20210426;000000;1779.6000000
GC;D;20210427;000000;1771.1000000
GC;D;20210428;000000;1784.4000000
GC;D;20210429;000000;1765.9000000
GC;D;20210430;000000;1768.8000000
GC;D;20210502;000000;1774.8000000
GC;D;20210503;000000;1789.5000000
GC;D;20210504;000000;1782.5000000
GC;D;20210505;000000;1789.3000000
GC;D;20210506;000000;1821.1000000
GC;D;20210507;000000;1832.0000000
GC;D;20210509;000000;1832.6000000
GC;D;20210510;000000;1835.2000000
GC;D;20210511;000000;1827.2000000
GC;D;20210512;000000;1817.0000000
GC;D;20210513;000000;1822.0000000
GC;D;20210514;000000;1844.0000000
GC;D;20210516;000000;1851.2000000
GC;D;20210517;000000;1868.5000000
GC;D;20210518;000000;1869.5000000
GC;D;20210519;000000;1876.4000000
GC;D;20210520;000000;1874.8000000
GC;D;20210521;000000;1881.8000000
GC;D;20210523;000000;1883.9000000
GC;D;20210524;000000;1879.8000000
GC;D;20210525;000000;1906.3000000
GC;D;20210526;000000;1897.1000000
GC;D;20210527;000000;1894.1000000
GC;D;20210528;000000;1903.7000000
GC;D;20210530;000000;1911.5000000
GC;D;20210531;000000;1914.0000000
GC;D;20210601;000000;1899.9000000
GC;D;20210602;000000;1907.5000000
GC;D;20210603;000000;1871.7000000
GC;D;20210604;000000;1894.1000000
GC;D;20210606;000000;1889.9000000
GC;D;20210607;000000;1898.5000000
GC;D;20210608;000000;1897.2000000
GC;D;20210609;000000;1889.2000000
GC;D;20210610;000000;1901.7000000
GC;D;20210611;000000;1879.5000000
GC;D;20210613;000000;1867.1000000
GC;D;20210614;000000;1865.1000000
GC;D;20210615;000000;1859.3000000
GC;D;20210616;000000;1823.6000000
GC;D;20210617;000000;1786.4000000
GC;D;20210618;000000;1763.9000000
GC;D;20210620;000000;1774.5000000
GC;D;20210621;000000;1788.9000000
GC;D;20210622;000000;1781.8000000
GC;D;20210623;000000;1775.8000000
GC;D;20210624;000000;1777.6000000
GC;D;20210625;000000;1781.8000000
GC;D;20210627;000000;1779.1000000
GC;D;20210628;000000;1775.1000000
GC;D;20210629;000000;1761.3000000
GC;D;20210630;000000;1776.3000000
GC;D;20210701;000000;1779.3000000
GC;D;20210702;000000;1787.7000000
GC;D;20210704;000000;1785.7000000
GC;D;20210705;000000;1797.7000000
GC;D;20210706;000000;1801.0000000
GC;D;20210707;000000;1797.5000000
GC;D;20210708;000000;1805.5000000
GC;D;20210709;000000;1808.6000000
GC;D;20210711;000000;1803.0000000
GC;D;20210712;000000;1809.8000000
GC;D;20210713;000000;1813.2000000
GC;D;20210714;000000;1826.4000000
GC;D;20210715;000000;1828.3000000
GC;D;20210716;000000;1812.5000000
GC;D;20210718;000000;1813.5000000
GC;D;20210719;000000;1818.0000000
GC;D;20210720;000000;1809.3000000
GC;D;20210721;000000;1798.4000000
GC;D;20210722;000000;1803.4000000
GC;D;20210723;000000;1802.1000000
GC;D;20210725;000000;1807.1000000
GC;D;20210726;000000;1798.9000000
GC;D;20210727;000000;1806.4000000
GC;D;20210728;000000;1814.5000000
GC;D;20210729;000000;1833.0000000
GC;D;20210730;000000;1816.9000000
GC;D;20210801;000000;1814.8000000
GC;D;20210802;000000;1813.7000000
GC;D;20210803;000000;1816.5000000
GC;D;20210804;000000;1813.7000000
GC;D;20210805;000000;1803.4000000
GC;D;20210806;000000;1763.5000000
GC;D;20210808;000000;1739.2000000
GC;D;20210809;000000;1738.4000000
GC;D;20210810;000000;1734.6000000
GC;D;20210811;000000;1752.2000000
GC;D;20210812;000000;1756.5000000
GC;D;20210813;000000;1781.5000000
GC;D;20210815;000000;1778.2000000
GC;D;20210816;000000;1787.7000000
GC;D;20210817;000000;1792.1000000
GC;D;20210818;000000;1781.4000000
GC;D;20210819;000000;1787.4000000
GC;D;20210820;000000;1782.6000000
GC;D;20210822;000000;1788.6000000
