<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SNGSP;D;20210610;000000;45.9550000
SNGSP;D;20210611;000000;45.9900000
SNGSP;D;20210614;000000;46.6350000
SNGSP;D;20210615;000000;46.7100000
SNGSP;D;20210616;000000;46.6400000
SNGSP;D;20210617;000000;46.6250000
SNGSP;D;20210618;000000;46.2950000
SNGSP;D;20210621;000000;46.1800000
SNGSP;D;20210622;000000;46.4500000
SNGSP;D;20210623;000000;46.2950000
SNGSP;D;20210624;000000;46.1750000
SNGSP;D;20210625;000000;46.3500000
SNGSP;D;20210628;000000;46.3750000
SNGSP;D;20210629;000000;46.1700000
SNGSP;D;20210630;000000;46.3550000
SNGSP;D;20210701;000000;46.2300000
SNGSP;D;20210702;000000;46.2400000
SNGSP;D;20210705;000000;46.8150000
SNGSP;D;20210706;000000;48.2300000
SNGSP;D;20210707;000000;48.2450000
SNGSP;D;20210708;000000;47.3550000
SNGSP;D;20210709;000000;47.8400000
SNGSP;D;20210712;000000;47.9050000
SNGSP;D;20210713;000000;47.5250000
SNGSP;D;20210714;000000;46.9500000
SNGSP;D;20210715;000000;46.3650000
SNGSP;D;20210716;000000;45.8600000
SNGSP;D;20210719;000000;38.8950000
SNGSP;D;20210720;000000;38.4600000
SNGSP;D;20210721;000000;38.1800000
SNGSP;D;20210722;000000;38.3550000
SNGSP;D;20210723;000000;38.5550000
SNGSP;D;20210726;000000;38.4250000
SNGSP;D;20210727;000000;38.3900000
SNGSP;D;20210728;000000;38.2350000
SNGSP;D;20210729;000000;38.1300000
SNGSP;D;20210730;000000;38.1000000
SNGSP;D;20210802;000000;37.9400000
SNGSP;D;20210803;000000;37.8950000
SNGSP;D;20210804;000000;37.7850000
SNGSP;D;20210805;000000;37.6000000
SNGSP;D;20210806;000000;37.4800000
SNGSP;D;20210809;000000;37.8200000
SNGSP;D;20210810;000000;37.7400000
SNGSP;D;20210811;000000;37.9750000
SNGSP;D;20210812;000000;38.1550000
SNGSP;D;20210813;000000;37.9600000
SNGSP;D;20210816;000000;37.8250000
SNGSP;D;20210817;000000;37.8200000
SNGSP;D;20210818;000000;37.8550000
SNGSP;D;20210819;000000;38.0850000
SNGSP;D;20210820;000000;38.5700000
SNGSP;D;20210823;000000;38.9000000
SNGSP;D;20210824;000000;38.8150000
SNGSP;D;20210825;000000;38.3900000
SNGSP;D;20210826;000000;38.3900000
SNGSP;D;20210827;000000;38.4450000
SNGSP;D;20210830;000000;38.4950000
SNGSP;D;20210831;000000;38.6900000
SNGSP;D;20210901;000000;38.5350000
SNGSP;D;20210902;000000;38.2500000
SNGSP;D;20210903;000000;38.3600000
SNGSP;D;20210906;000000;38.2900000
SNGSP;D;20210907;000000;38.3150000
SNGSP;D;20210908;000000;38.3000000
SNGSP;D;20210909;000000;38.0700000
SNGSP;D;20210910;000000;38.0550000
SNGSP;D;20210913;000000;38.1900000
SNGSP;D;20210914;000000;38.1350000
SNGSP;D;20210915;000000;37.9750000
SNGSP;D;20210916;000000;37.9650000
SNGSP;D;20210917;000000;37.6650000
SNGSP;D;20210920;000000;37.5100000
SNGSP;D;20210921;000000;37.5550000
SNGSP;D;20210922;000000;38.1350000
SNGSP;D;20210923;000000;38.3800000
SNGSP;D;20210924;000000;38.6750000
SNGSP;D;20210927;000000;38.5250000
SNGSP;D;20210928;000000;39.3500000
SNGSP;D;20210929;000000;40.2000000
SNGSP;D;20210930;000000;40.0550000
SNGSP;D;20211001;000000;39.7200000
SNGSP;D;20211004;000000;39.4000000
SNGSP;D;20211005;000000;41.4000000
SNGSP;D;20211006;000000;40.7750000
SNGSP;D;20211007;000000;40.3900000
SNGSP;D;20211008;000000;40.3950000
SNGSP;D;20211011;000000;40.1900000
SNGSP;D;20211012;000000;40.3150000
SNGSP;D;20211013;000000;39.9750000
SNGSP;D;20211014;000000;39.7900000
SNGSP;D;20211015;000000;39.7900000
SNGSP;D;20211018;000000;39.2350000
SNGSP;D;20211019;000000;39.9850000
SNGSP;D;20211020;000000;39.5500000
SNGSP;D;20211021;000000;39.3000000
SNGSP;D;20211022;000000;38.7150000
SNGSP;D;20211025;000000;38.6000000
SNGSP;D;20211026;000000;38.5650000
SNGSP;D;20211027;000000;38.8350000
SNGSP;D;20211028;000000;38.5650000
SNGSP;D;20211029;000000;38.5700000
SNGSP;D;20211101;000000;38.6500000
SNGSP;D;20211102;000000;38.4950000
SNGSP;D;20211103;000000;38.3500000
SNGSP;D;20211105;000000;38.1800000
SNGSP;D;20211108;000000;38.5150000
SNGSP;D;20211109;000000;38.4050000
SNGSP;D;20211110;000000;38.1500000
SNGSP;D;20211111;000000;39.8950000
SNGSP;D;20211112;000000;40.5300000
SNGSP;D;20211115;000000;40.0250000
SNGSP;D;20211116;000000;39.9300000
SNGSP;D;20211117;000000;39.2950000
SNGSP;D;20211118;000000;38.9950000
SNGSP;D;20211119;000000;39.0500000
SNGSP;D;20211122;000000;38.6950000
SNGSP;D;20211123;000000;38.3000000
SNGSP;D;20211124;000000;38.4800000
SNGSP;D;20211125;000000;38.3200000
SNGSP;D;20211126;000000;37.9650000
SNGSP;D;20211129;000000;37.8550000
SNGSP;D;20211130;000000;37.5250000
SNGSP;D;20211201;000000;37.7200000
SNGSP;D;20211202;000000;38.1200000
SNGSP;D;20211203;000000;38.1200000
SNGSP;D;20211206;000000;38.1600000
SNGSP;D;20211207;000000;38.5400000
SNGSP;D;20211208;000000;38.1350000
SNGSP;D;20211209;000000;38.2500000
SNGSP;D;20211210;000000;38.0550000
SNGSP;D;20211213;000000;37.1900000
SNGSP;D;20211214;000000;37.0000000
SNGSP;D;20211215;000000;38.3600000
SNGSP;D;20211216;000000;38.2350000
SNGSP;D;20211217;000000;38.5600000
SNGSP;D;20211220;000000;38.4250000
SNGSP;D;20211221;000000;38.0600000
SNGSP;D;20211222;000000;38.0050000
SNGSP;D;20211223;000000;37.9800000
SNGSP;D;20211224;000000;38.0050000
SNGSP;D;20211227;000000;38.4100000
SNGSP;D;20211228;000000;38.1500000
SNGSP;D;20211229;000000;38.3400000
SNGSP;D;20211230;000000;38.5700000
SNGSP;D;20220103;000000;38.8700000
SNGSP;D;20220104;000000;39.7150000
SNGSP;D;20220105;000000;39.0750000
SNGSP;D;20220106;000000;38.9000000
SNGSP;D;20220110;000000;38.9550000
SNGSP;D;20220111;000000;39.0000000
SNGSP;D;20220112;000000;38.9100000
SNGSP;D;20220113;000000;38.4700000
SNGSP;D;20220114;000000;38.5900000
SNGSP;D;20220117;000000;38.3400000
SNGSP;D;20220118;000000;37.2950000
SNGSP;D;20220119;000000;37.4650000
SNGSP;D;20220120;000000;37.4950000
SNGSP;D;20220121;000000;37.1450000
SNGSP;D;20220124;000000;36.3750000
SNGSP;D;20220125;000000;36.5450000
SNGSP;D;20220126;000000;36.8150000
SNGSP;D;20220127;000000;37.0500000
SNGSP;D;20220128;000000;37.3000000
SNGSP;D;20220131;000000;37.4050000
SNGSP;D;20220201;000000;37.3100000
SNGSP;D;20220202;000000;37.0500000
SNGSP;D;20220203;000000;36.4450000
SNGSP;D;20220204;000000;37.0750000
SNGSP;D;20220207;000000;37.1850000
SNGSP;D;20220208;000000;37.3550000
SNGSP;D;20220209;000000;37.4450000
SNGSP;D;20220210;000000;37.8050000
SNGSP;D;20220211;000000;37.3600000
SNGSP;D;20220214;000000;37.4100000
SNGSP;D;20220215;000000;37.8700000
SNGSP;D;20220216;000000;37.8250000
SNGSP;D;20220217;000000;37.2550000
SNGSP;D;20220218;000000;36.5000000
SNGSP;D;20220221;000000;32.5800000
SNGSP;D;20220222;000000;35.0050000
SNGSP;D;20220224;000000;28.0050000
SNGSP;D;20220225;000000;29.9850000
SNGSP;D;20220324;000000;35.3000000
SNGSP;D;20220325;000000;35.8200000
SNGSP;D;20220328;000000;35.0050000
SNGSP;D;20220329;000000;36.4000000
SNGSP;D;20220330;000000;36.6500000
SNGSP;D;20220331;000000;36.7500000
SNGSP;D;20220401;000000;36.5000000
SNGSP;D;20220404;000000;36.1950000
SNGSP;D;20220405;000000;35.3000000
SNGSP;D;20220406;000000;35.1100000
SNGSP;D;20220407;000000;34.5750000
SNGSP;D;20220408;000000;34.1000000
SNGSP;D;20220411;000000;34.4000000
SNGSP;D;20220412;000000;33.9550000
SNGSP;D;20220413;000000;34.2800000
SNGSP;D;20220414;000000;33.8800000
SNGSP;D;20220415;000000;33.5450000
SNGSP;D;20220418;000000;32.9300000
SNGSP;D;20220419;000000;32.0600000
SNGSP;D;20220420;000000;32.6100000
SNGSP;D;20220421;000000;32.8050000
SNGSP;D;20220422;000000;32.5750000
SNGSP;D;20220425;000000;32.0000000
SNGSP;D;20220426;000000;32.4100000
SNGSP;D;20220427;000000;33.7000000
SNGSP;D;20220428;000000;33.1200000
SNGSP;D;20220429;000000;33.2750000
SNGSP;D;20220504;000000;32.2700000
SNGSP;D;20220505;000000;32.0850000
SNGSP;D;20220506;000000;31.9950000
SNGSP;D;20220511;000000;32.1300000
