<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GMKN;D;20220103;000000;23378.0000000
GMKN;D;20220104;000000;23314.0000000
GMKN;D;20220105;000000;23010.0000000
GMKN;D;20220106;000000;23280.0000000
GMKN;D;20220110;000000;23508.0000000
GMKN;D;20220111;000000;23734.0000000
GMKN;D;20220112;000000;24040.0000000
GMKN;D;20220113;000000;22836.0000000
GMKN;D;20220114;000000;22648.0000000
GMKN;D;20220117;000000;21820.0000000
GMKN;D;20220118;000000;20694.0000000
GMKN;D;20220119;000000;22024.0000000
GMKN;D;20220120;000000;22300.0000000
GMKN;D;20220121;000000;22100.0000000
GMKN;D;20220124;000000;21250.0000000
GMKN;D;20220125;000000;21466.0000000
GMKN;D;20220126;000000;21788.0000000
GMKN;D;20220127;000000;22066.0000000
GMKN;D;20220128;000000;22082.0000000
GMKN;D;20220131;000000;21916.0000000
GMKN;D;20220201;000000;21948.0000000
GMKN;D;20220202;000000;21670.0000000
GMKN;D;20220203;000000;21392.0000000
GMKN;D;20220204;000000;21400.0000000
GMKN;D;20220207;000000;21580.0000000
GMKN;D;20220208;000000;22372.0000000
GMKN;D;20220209;000000;22674.0000000
GMKN;D;20220210;000000;22454.0000000
GMKN;D;20220211;000000;21688.0000000
GMKN;D;20220214;000000;22082.0000000
GMKN;D;20220215;000000;22324.0000000
GMKN;D;20220216;000000;22304.0000000
GMKN;D;20220217;000000;21774.0000000
GMKN;D;20220218;000000;21450.0000000
GMKN;D;20220221;000000;19252.0000000
GMKN;D;20220222;000000;21150.0000000
GMKN;D;20220224;000000;18200.0000000
GMKN;D;20220225;000000;19052.0000000
GMKN;D;20220324;000000;20990.0000000
GMKN;D;20220325;000000;21070.0000000
GMKN;D;20220328;000000;20850.0000000
GMKN;D;20220329;000000;20028.0000000
GMKN;D;20220330;000000;20462.0000000
GMKN;D;20220331;000000;20974.0000000
GMKN;D;20220401;000000;21500.0000000
GMKN;D;20220404;000000;21750.0000000
GMKN;D;20220405;000000;20986.0000000
GMKN;D;20220406;000000;21150.0000000
GMKN;D;20220407;000000;21050.0000000
GMKN;D;20220408;000000;21112.0000000
GMKN;D;20220411;000000;21006.0000000
GMKN;D;20220412;000000;20990.0000000
GMKN;D;20220413;000000;20794.0000000
GMKN;D;20220414;000000;20004.0000000
GMKN;D;20220415;000000;20240.0000000
GMKN;D;20220418;000000;19886.0000000
GMKN;D;20220419;000000;19676.0000000
GMKN;D;20220420;000000;20590.0000000
GMKN;D;20220421;000000;20454.0000000
GMKN;D;20220422;000000;19700.0000000
GMKN;D;20220425;000000;19900.0000000
GMKN;D;20220426;000000;20994.0000000
GMKN;D;20220427;000000;21272.0000000
GMKN;D;20220428;000000;21000.0000000
GMKN;D;20220429;000000;21550.0000000
GMKN;D;20220504;000000;21352.0000000
GMKN;D;20220505;000000;21544.0000000
GMKN;D;20220506;000000;21766.0000000
GMKN;D;20220511;000000;21330.0000000
GMKN;D;20220512;000000;21238.0000000
GMKN;D;20220513;000000;21200.0000000
GMKN;D;20220516;000000;21364.0000000
GMKN;D;20220517;000000;21348.0000000
GMKN;D;20220518;000000;21416.0000000
GMKN;D;20220519;000000;21300.0000000
GMKN;D;20220520;000000;20700.0000000
GMKN;D;20220523;000000;19800.0000000
GMKN;D;20220524;000000;20010.0000000
GMKN;D;20220525;000000;20080.0000000
GMKN;D;20220526;000000;20198.0000000
GMKN;D;20220527;000000;20162.0000000
GMKN;D;20220530;000000;20132.0000000
GMKN;D;20220531;000000;20190.0000000
GMKN;D;20220601;000000;20416.0000000
GMKN;D;20220602;000000;20154.0000000
GMKN;D;20220603;000000;20314.0000000
GMKN;D;20220606;000000;20294.0000000
GMKN;D;20220607;000000;20200.0000000
GMKN;D;20220608;000000;20134.0000000
GMKN;D;20220609;000000;20310.0000000
GMKN;D;20220610;000000;19490.0000000
GMKN;D;20220614;000000;19102.0000000
GMKN;D;20220615;000000;19040.0000000
GMKN;D;20220616;000000;19370.0000000
GMKN;D;20220617;000000;19194.0000000
GMKN;D;20220620;000000;19180.0000000
GMKN;D;20220621;000000;18820.0000000
GMKN;D;20220622;000000;18940.0000000
GMKN;D;20220623;000000;19100.0000000
GMKN;D;20220624;000000;18934.0000000
GMKN;D;20220627;000000;18586.0000000
GMKN;D;20220628;000000;18252.0000000
GMKN;D;20220629;000000;17652.0000000
GMKN;D;20220630;000000;17400.0000000
GMKN;D;20220701;000000;17100.0000000
GMKN;D;20220704;000000;17024.0000000
GMKN;D;20220705;000000;16700.0000000
GMKN;D;20220706;000000;16452.0000000
