<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
IMOEX;D;20210304;000000;3397.5600000
IMOEX;D;20210305;000000;3414.1300000
IMOEX;D;20210309;000000;3478.7200000
IMOEX;D;20210310;000000;3463.0600000
IMOEX;D;20210311;000000;3508.5100000
IMOEX;D;20210312;000000;3539.5000000
IMOEX;D;20210315;000000;3584.4900000
IMOEX;D;20210316;000000;3589.8300000
IMOEX;D;20210317;000000;3507.9100000
IMOEX;D;20210318;000000;3504.8500000
IMOEX;D;20210319;000000;3475.2600000
IMOEX;D;20210322;000000;3489.0700000
IMOEX;D;20210323;000000;3467.2100000
IMOEX;D;20210324;000000;3485.3300000
IMOEX;D;20210325;000000;3439.3000000
IMOEX;D;20210326;000000;3489.8300000
IMOEX;D;20210329;000000;3529.3300000
IMOEX;D;20210330;000000;3525.2300000
IMOEX;D;20210331;000000;3541.7200000
IMOEX;D;20210401;000000;3527.5400000
IMOEX;D;20210402;000000;3558.2200000
IMOEX;D;20210405;000000;3524.9300000
IMOEX;D;20210406;000000;3493.8900000
IMOEX;D;20210407;000000;3500.3400000
IMOEX;D;20210408;000000;3507.8300000
IMOEX;D;20210409;000000;3486.0300000
IMOEX;D;20210412;000000;3522.6500000
IMOEX;D;20210413;000000;3526.3000000
IMOEX;D;20210414;000000;3576.8900000
IMOEX;D;20210415;000000;3568.5100000
IMOEX;D;20210416;000000;3598.4400000
IMOEX;D;20210419;000000;3574.0800000
IMOEX;D;20210420;000000;3552.4100000
IMOEX;D;20210421;000000;3561.7200000
IMOEX;D;20210422;000000;3600.3500000
IMOEX;D;20210423;000000;3597.1700000
IMOEX;D;20210426;000000;3610.9800000
IMOEX;D;20210427;000000;3600.6000000
IMOEX;D;20210428;000000;3578.1200000
IMOEX;D;20210429;000000;3571.0500000
IMOEX;D;20210430;000000;3544.0000000
IMOEX;D;20210504;000000;3577.2100000
IMOEX;D;20210505;000000;3643.5600000
IMOEX;D;20210506;000000;3658.2700000
IMOEX;D;20210507;000000;3682.6900000
IMOEX;D;20210510;000000;3694.7800000
IMOEX;D;20210511;000000;3652.0500000
IMOEX;D;20210512;000000;3654.1400000
IMOEX;D;20210513;000000;3637.3800000
IMOEX;D;20210514;000000;3637.6000000
IMOEX;D;20210517;000000;3639.6100000
IMOEX;D;20210518;000000;3687.9600000
IMOEX;D;20210519;000000;3634.7600000
IMOEX;D;20210520;000000;3636.1600000
IMOEX;D;20210521;000000;3660.4800000
IMOEX;D;20210524;000000;3662.5100000
IMOEX;D;20210525;000000;3686.7600000
IMOEX;D;20210526;000000;3711.0500000
IMOEX;D;20210527;000000;3738.6800000
IMOEX;D;20210528;000000;3730.5500000
IMOEX;D;20210531;000000;3721.6300000
IMOEX;D;20210601;000000;3764.5900000
IMOEX;D;20210602;000000;3817.6800000
IMOEX;D;20210603;000000;3805.4500000
IMOEX;D;20210604;000000;3807.4300000
IMOEX;D;20210607;000000;3822.2100000
IMOEX;D;20210608;000000;3807.4300000
IMOEX;D;20210609;000000;3843.2800000
IMOEX;D;20210610;000000;3827.7100000
IMOEX;D;20210611;000000;3841.5300000
IMOEX;D;20210614;000000;3860.1800000
IMOEX;D;20210615;000000;3822.4000000
IMOEX;D;20210616;000000;3829.6700000
IMOEX;D;20210617;000000;3819.0700000
IMOEX;D;20210618;000000;3802.9500000
IMOEX;D;20210621;000000;3813.4500000
IMOEX;D;20210622;000000;3821.6800000
IMOEX;D;20210623;000000;3837.1500000
IMOEX;D;20210624;000000;3823.4400000
IMOEX;D;20210625;000000;3831.8400000
IMOEX;D;20210628;000000;3825.5700000
IMOEX;D;20210629;000000;3790.8500000
IMOEX;D;20210630;000000;3841.8500000
IMOEX;D;20210701;000000;3858.3200000
IMOEX;D;20210702;000000;3865.4200000
IMOEX;D;20210705;000000;3882.5900000
IMOEX;D;20210706;000000;3884.3000000
IMOEX;D;20210707;000000;3895.1000000
IMOEX;D;20210708;000000;3861.0800000
IMOEX;D;20210709;000000;3855.3100000
IMOEX;D;20210712;000000;3875.6100000
IMOEX;D;20210713;000000;3877.0300000
IMOEX;D;20210714;000000;3832.8500000
IMOEX;D;20210715;000000;3799.9700000
IMOEX;D;20210716;000000;3770.1500000
IMOEX;D;20210719;000000;3693.4200000
IMOEX;D;20210720;000000;3704.4000000
IMOEX;D;20210721;000000;3722.9600000
IMOEX;D;20210722;000000;3754.4400000
IMOEX;D;20210723;000000;3734.5400000
IMOEX;D;20210726;000000;3750.1000000
IMOEX;D;20210727;000000;3733.1000000
IMOEX;D;20210728;000000;3782.2800000
IMOEX;D;20210729;000000;3804.3300000
IMOEX;D;20210730;000000;3771.5800000
IMOEX;D;20210802;000000;3788.1000000
