<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
CA;D;20220103;000000;9745.5669150
CA;D;20220104;000000;9846.9798950
CA;D;20220105;000000;9670.6094950
CA;D;20220106;000000;9593.4474450
CA;D;20220107;000000;9700.3720000
CA;D;20220109;000000;9693.7581100
CA;D;20220110;000000;9651.8701400
CA;D;20220111;000000;9758.7946950
CA;D;20220112;000000;10045.3965950
CA;D;20220113;000000;9941.7789850
CA;D;20220114;000000;9759.8970100
CA;D;20220116;000000;9796.2734050
CA;D;20220117;000000;9775.3294200
CA;D;20220118;000000;9697.0650550
CA;D;20220119;000000;9798.4780350
CA;D;20220120;000000;9977.0530650
CA;D;20220121;000000;9958.3137100
CA;D;20220123;000000;10000.2016800
CA;D;20220124;000000;9834.8544300
CA;D;20220125;000000;9845.8775800
CA;D;20220126;000000;9849.1845250
CA;D;20220127;000000;9742.2599700
CA;D;20220128;000000;9541.6386400
CA;D;20220130;000000;9544.9455850
CA;D;20220131;000000;9558.1733650
CA;D;20220201;000000;9779.7386800
CA;D;20220202;000000;9845.8775800
CA;D;20220203;000000;9881.1516600
CA;D;20220204;000000;9936.2674100
CA;D;20220206;000000;9939.5743550
CA;D;20220207;000000;9872.3331400
CA;D;20220208;000000;9848.0822100
CA;D;20220209;000000;10199.7206950
CA;D;20220210;000000;10194.2091200
CA;D;20220211;000000;9791.8641450
CA;D;20220213;000000;9860.2076750
CA;D;20220214;000000;9925.2442600
CA;D;20220215;000000;9988.0762150
CA;D;20220216;000000;10006.8155700
CA;D;20220217;000000;9930.7558350
CA;D;20220218;000000;9951.6998200
CA;D;20220220;000000;9966.0299150
CA;D;20220221;000000;9877.8447150
CA;D;20220222;000000;9952.8021350
CA;D;20220223;000000;9843.6729500
CA;D;20220224;000000;9919.7326850
CA;D;20220225;000000;9875.6400850
CA;D;20220227;000000;9863.5146200
CA;D;20220228;000000;9926.3465750
CA;D;20220301;000000;10103.8192900
CA;D;20220302;000000;10306.6452500
CA;D;20220303;000000;10543.6429750
CA;D;20220304;000000;10843.4726550
CA;D;20220306;000000;11040.7870400
CA;D;20220307;000000;10490.7318550
CA;D;20220308;000000;10484.1179650
CA;D;20220309;000000;10114.8424400
CA;D;20220310;000000;10243.8132950
CA;D;20220311;000000;10171.0605050
CA;D;20220313;000000;10092.7961400
CA;D;20220314;000000;9930.7558350
CA;D;20220315;000000;9931.8581500
CA;D;20220316;000000;10204.1299550
CA;D;20220317;000000;10365.0679450
CA;D;20220318;000000;10397.0350800
CA;D;20220320;000000;10379.3980400
CA;D;20220321;000000;10381.6026700
CA;D;20220322;000000;10362.8633150
CA;D;20220323;000000;10533.7221400
CA;D;20220324;000000;10415.7744350
CA;D;20220325;000000;10339.7147000
CA;D;20220327;000000;10318.7707150
CA;D;20220328;000000;10410.2628600
CA;D;20220329;000000;10491.8341700
CA;D;20220330;000000;10463.1739800
CA;D;20220331;000000;10442.2299950
CA;D;20220401;000000;10373.8864650
CA;D;20220403;000000;10366.1702600
CA;D;20220404;000000;10553.5638100
CA;D;20220405;000000;10491.8341700
CA;D;20220406;000000;10397.0350800
CA;D;20220407;000000;10389.3188750
CA;D;20220408;000000;10425.6952700
CA;D;20220410;000000;10423.4906400
CA;D;20220411;000000;10215.1531050
CA;D;20220412;000000;10365.0679450
CA;D;20220413;000000;10377.1934100
CA;D;20220414;000000;10406.9559150
CA;D;20220417;000000;10456.5600900
CA;D;20220418;000000;10588.8378900
CA;D;20220419;000000;10369.4772050
CA;D;20220420;000000;10283.4966350
CA;D;20220421;000000;10328.6915500
CA;D;20220422;000000;10099.4100300
CA;D;20220424;000000;10109.3308650
CA;D;20220425;000000;9881.1516600
CA;D;20220426;000000;9708.0882050
CA;D;20220427;000000;9794.0687750
CA;D;20220428;000000;9776.4317350
CA;D;20220429;000000;9673.9164400
CA;D;20220501;000000;9687.1442200
CA;D;20220502;000000;9456.7603850
CA;D;20220503;000000;9490.9321500
CA;D;20220504;000000;9635.3354150
CA;D;20220505;000000;9472.1927950
CA;D;20220506;000000;9366.3705550
CA;D;20220508;000000;9327.7895300
CA;D;20220509;000000;9249.5251650
CA;D;20220510;000000;9184.4885800
CA;D;20220511;000000;9288.1061900
CA;D;20220512;000000;9027.9598500
CA;D;20220513;000000;9183.3862650
